id,novelId,characterId,chapterId,chapterOrder,title,content,source,createdAt,updatedAt
cmr266al2049ov16zr01tt070,cmr23pgks000fv16zpwg1ms38,cmr23zj4j004tv16zlc1ewt6u,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,阿条盯着屏幕上“已发送”三个字，把左手从键盘上移开，才发现指尖还在微微发颤,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049pv16zkbhah25e,cmr23pgks000fv16zpwg1ms38,cmr23zj4j004tv16zlc1ewt6u,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,阿条深吸一口气，把视线拽回屏幕,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049qv16zmycsqn80,cmr23pgks000fv16zpwg1ms38,cmr23zj4j004tv16zlc1ewt6u,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,阿条看着那块屏幕，脑子里空白了一秒,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049rv16z6pf4kueg,cmr23pgks000fv16zpwg1ms38,cmr23zj4y004uv16zh1dm72nm,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,在茶水间隔间里被阿力按在墙上吻过的二十分钟后，她坐在工位上，跟同事讨论午饭吃什么，语气、表情、节奏，全对,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049sv16z0updxjxj,cmr23pgks000fv16zpwg1ms38,cmr23zj4y004uv16zh1dm72nm,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,电梯门打开的时候，她看见了阿力,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049tv16z6xznsao1,cmr23pgks000fv16zpwg1ms38,cmr23zj4y004uv16zh1dm72nm,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,阿力在她右后方，隔了两个人的距离,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049uv16zvmbfzjg5,cmr23pgks000fv16zpwg1ms38,cmr23zj58004wv16zpaestpwt,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,李晴在斜对面敲键盘，薄荷绿的保温杯搁在显示器旁边，杯盖上的划痕被头顶日光灯照得反光,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049vv16z8guw57m8,cmr23pgks000fv16zpwg1ms38,cmr23zj58004wv16zpaestpwt,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,李晴从隔板那边探过头来，手里举着手机，屏幕亮着，上面是公司楼下那家湘菜馆的菜单,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049wv16zht9ntnno,cmr23pgks000fv16zpwg1ms38,cmr23zj58004wv16zpaestpwt,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,声音正常，语调正常，甚至还冲李晴笑了一下,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049xv16zy9l0z2nl,cmr23pgks000fv16zpwg1ms38,cmr23zj5f004yv16ztyiw8inw,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,阿条点开，是王总群发的本周工作进度汇总要求，措辞一如既往的精准——每一条要求后面都跟着括号写明截止时间，句尾没有语气词，每段不超过三行,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049yv16zqv9udlu4,cmr23pgks000fv16zpwg1ms38,cmr23zj5f004yv16ztyiw8inw,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,他从王总办公室方向走过来，手里拿着一沓打印材料，灰蓝色衬衫的袖口还是卷到小臂，步伐不紧不慢,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al2049zv16z9qnhx97j,cmr23pgks000fv16zpwg1ms38,cmr23zj5f004yv16ztyiw8inw,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,王总从他办公室走出来，站在走廊中间扫了一圈，食指推了推眼镜，然后转身回了办公室，关上门,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al204a0v16zz1fhenl5,cmr23pgks000fv16zpwg1ms38,cmr23zj5m0050v16zyqacdl0n,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,陈默坐在她隔壁工位，帮她装好工作系统，跟她说“莫慌，慢慢来”,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al204a1v16zxurwbqhr,cmr23pgks000fv16zpwg1ms38,cmr23zj5m0050v16zyqacdl0n,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,那时候她觉得，这座城市里没有陈默的话，好像真的少了点什么,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
cmr266al204a2v16zal32gr0f,cmr23pgks000fv16zpwg1ms38,cmr23zj5m0050v16zyqacdl0n,cmr24zob501riv16zlk7xxqvy,2,2 - 陌生演技,发出去之后才意识到，这是陈默以前常对她说的话,chapter_extract,2026-07-01T14:27:16.886+00:00,2026-07-01T14:27:16.886+00:00
