id,snapshotId,title,summary,status,setupChapterId,payoffChapterId,createdAt,updatedAt
cmr269srb04bav16zvhm9k5j9,cmr269sr004b3v16zvdhpsups,陈默的问候消息,陈默发来微信，阿条回复冷淡，兑现第一章伏笔。,paid_off,cmr24zoaz01rhv16zmcjv20hl,,2026-07-01T14:30:00.407+00:00,2026-07-01T14:30:00.407+00:00
cmr269srb04bbv16zo53u14g5,cmr269sr004b3v16zvdhpsups,阿条的禁忌自觉,阿条从后怕转为享受刺激，但仍保留底层警觉“我们不能这样”。,hinted,cmr24zoaz01rhv16zmcjv20hl,,2026-07-01T14:30:00.407+00:00,2026-07-01T14:30:00.407+00:00
cmr269srb04bcv16z8g7jjv6v,cmr269sr004b3v16zvdhpsups,同事的怀疑升级,小菲在午餐时试探，怀疑增加但无证据，同事怀疑度提升。,pending_payoff,cmr24zoaz01rhv16zmcjv20hl,,2026-07-01T14:30:00.407+00:00,2026-07-01T14:30:00.407+00:00
cmr26ffu404fhv16z5n3t6sgp,cmr26feyn04ebv16zh84ifjuv,阿力的夜晚邀约,本章阿条赴约天台，邀约兑现。,paid_off,cmr24zob501riv16zlk7xxqvy,,2026-07-01T14:34:23.596+00:00,2026-07-01T14:34:23.596+00:00
cmr26ffu404fiv16z4ent8b5z,cmr26feyn04ebv16zh84ifjuv,阿条的禁忌自觉,阿条仍感暴露恐惧，但主动管理风险，禁忌意识转变为行动规则。,pending_payoff,cmr24zoaz01rhv16zmcjv20hl,,2026-07-01T14:34:23.596+00:00,2026-07-01T14:34:23.596+00:00
cmr26ffu404fjv16zfs1qu5nj,cmr26feyn04ebv16zh84ifjuv,秘密关系规则,阿条制定三条规则及附加条件，为后续偷情日常提供框架。,setup,cmr24zob701rjv16zoa3pmbkg,,2026-07-01T14:34:23.596+00:00,2026-07-01T14:34:23.596+00:00
cmr26ffu404fkv16zviiwn7jh,cmr26feyn04ebv16zh84ifjuv,食堂暗语,约定明日食堂隔座而坐，为后续隐蔽相处铺垫。,setup,cmr24zob701rjv16zoa3pmbkg,,2026-07-01T14:34:23.596+00:00,2026-07-01T14:34:23.596+00:00
cmr26pscp04muv16zgdoch366,cmr26psce04mov16zi89zlpdj,暗号库与苏打水,暗语系统建立并经过打印室、食堂、天台测试，为明日食堂正式使用做足准备。,pending_payoff,cmr24zob701rjv16zoa3pmbkg,,2026-07-01T14:42:26.377+00:00,2026-07-01T14:42:26.377+00:00
cmr26pscp04mvv16zk6j9k341,cmr26psce04mov16zi89zlpdj,同事怀疑升级,小菲在打印室和食堂留意到异常，怀疑种子无声埋下。,pending_payoff,cmr24zob501riv16zlk7xxqvy,,2026-07-01T14:42:26.377+00:00,2026-07-01T14:42:26.377+00:00
cmr26pscp04mwv16zuf9m407u,cmr26psce04mov16zi89zlpdj,陈默的再次问候,陈默发来微信，阿条冷淡回应，维持联系，暗示昔日感情渐远。,hinted,cmr24zoaz01rhv16zmcjv20hl,,2026-07-01T14:42:26.377+00:00,2026-07-01T14:42:26.377+00:00
cmr26pscp04mxv16zriy9dfzj,cmr26psce04mov16zi89zlpdj,阿条的禁忌自觉,阿条完全放下‘我们不能这样’的挣扎，主动拥抱秘密关系，禁忌自觉兑现。,paid_off,cmr24zoaz01rhv16zmcjv20hl,cmr24zob901rkv16z4obgdvth,2026-07-01T14:42:26.377+00:00,2026-07-01T14:42:26.377+00:00
cmr26y8rc04pwv16z4yp5ffkq,cmr26y8qz04ppv16zakxqwzrs,暗号库与苏打水,暗语系统实战测试成功，新增编码，待食堂游戏进一步兑现。,pending_payoff,cmr24zobb01rlv16z1chjyonq,,2026-07-01T14:49:00.887+00:00,2026-07-01T14:49:00.887+00:00
cmr26y8rc04pxv16zkjncolq5,cmr26y8qz04ppv16zakxqwzrs,同事怀疑升级,小菲主动询问手链，试探二人关系，怀疑初步建立。,hinted,cmr24zobb01rlv16z1chjyonq,,2026-07-01T14:49:00.887+00:00,2026-07-01T14:49:00.887+00:00
cmr26y8rc04pyv16z9j96uu5h,cmr26y8qz04ppv16zakxqwzrs,食堂暗语,食堂暗语规则最终确认，椅子偏移上限三厘米，阿条目标完成全套表演。,pending_payoff,cmr24zobb01rlv16z1chjyonq,,2026-07-01T14:49:00.887+00:00,2026-07-01T14:49:00.887+00:00
cmr274qy804sqv16zh57e9ypy,cmr274qxw04skv16zz42ick5d,阿条的沉溺心态,阿条从被动到主动的心态转变，预示未来可能更冒险的行为，以及暴露风险上升。,setup,cmr24zobd01rmv16z1nhh9ss5,,2026-07-01T14:54:04.400+00:00,2026-07-01T14:54:04.400+00:00
cmr274qy904srv16zny00umzb,cmr274qxw04skv16zz42ick5d,终将暴露的预感,阿条入睡前预感暴露终会到来，为后续危机埋下心理铺垫。,setup,cmr24zobd01rmv16z1nhh9ss5,,2026-07-01T14:54:04.400+00:00,2026-07-01T14:54:04.400+00:00
cmr274qy904ssv16z5z76tvfk,cmr274qxw04skv16zz42ick5d,暗语系统扩展,“稳”成为新的暗语，暗语系统进一步融入日常沟通。,hinted,cmr24zob701rjv16zoa3pmbkg,,2026-07-01T14:54:04.400+00:00,2026-07-01T14:54:04.400+00:00
cmr274qy904stv16zv9u9ky1c,cmr274qxw04skv16zz42ick5d,同事怀疑升级,本章无新同事怀疑事件，阿条复盘无破绽，怀疑暂时缓和，但小菲仍在留意。,hinted,cmr24zoaz01rhv16zmcjv20hl,,2026-07-01T14:54:04.400+00:00,2026-07-01T14:54:04.400+00:00
cmr27col504wav16zmocdafl3,cmr27cokx04w6v16z86qss28o,团建冷战,阿条决心在团建中与阿力保持距离，预告下一章执行与效果。,hinted,cmr24zobf01rnv16zemm40alv,,2026-07-01T15:00:14.585+00:00,2026-07-01T15:00:14.585+00:00
cmr27yo2a04yvv16zdlddj686,cmr27yo1p04ynv16zhjb497sh,团建距离策略与眼神暗语默契,阿条在本章执行了冷处理策略，通过不同车、避免同组、只接受眼神交流等方式完成团建中的刻意疏离，阿力以攀岩回视完成默契确认。,paid_off,cmr24zobh01rov16z0c34j46e,,2026-07-01T15:17:20.337+00:00,2026-07-01T15:17:20.337+00:00
cmr27yo2a04ywv16z1xe55dql,cmr27yo1p04ynv16zhjb497sh,阿条沉溺心态转折,阿条从刺激上瘾转为清醒负担，标志着此前沉溺心态已结束。,paid_off,cmr24zobh01rov16z0c34j46e,,2026-07-01T15:17:20.337+00:00,2026-07-01T15:17:20.337+00:00
